code,name
5224,Opticians assistants
5225,Petrol station personnel
5226,Rental salespersons
5227,Pharmacy technicians
5230,Cashiers and related clerks
5241,Event salespeople and shop demonstrators
5242,Telemarketers
5311,Child care workers
5312,Teachers' aides
5321,"Assistant nurses, home care and homes for the elderly"
5322,"Assistant nurses, rehabilitation"
5323,"Assistant nurses, hospital ward"
5324,"Assistant nurses, clinic"
5325,"Assistant nurses, children"
5326,Ambulance attendants
5330,Home-based personal care and related workers
5341,Attendants
5342,Personal care providers
5343,Personal assistants
5349,Personal care workers in health services not elsewhere classified
5350,Dental nurses
5411,Firefighters
5412,Prison guards
5413,Security guards
5414,Emergency call operators
5419,Protective services workers not elsewhere classified
6111,Field crop and vegetable growers
6112,"Gardeners, cultivation"
6113,"Gardeners, parks and grounds"
6121,Livestock and dairy producers
6122,Pet breeders and keepers
6129,Animal breeders and related workers not elsewhere classified
6130,Mixed crop and animal breeders
6210,Forestry and related workers
6221,Fish farmers
6222,Fishermen
7111,"Woodworkers, carpenters"
7112,Bricklayers and related workers
7113,"Concrete placers, concrete finishers and related workers"
7114,Rail and road construction workers
7115,Construction diver
7116,Scaffold builders
7119,Building frame and related trades workers not elsewhere classified
7121,Roofers
7122,Floor layers
7123,Insulation workers
7124,Glaziers
7125,Plumbing and central heating fitters
7126,Heating and air conditioning mechanics
7131,Painters and related workers
7132,Painters and industrial painters
7133,Chimney sweepers
7134,Building structure cleaners and related workers
7211,Metal moulders and related workers
7212,Welders and flame cutters
7213,"Sheet metal workers, building and ventilation"
7214,Sheet metal workers
7215,Steel structure erectors and heavy plate workers
7221,"Blacksmiths, hammersmiths and forging press workers"
7222,Toolmakers and related workers
7223,Machine-tool operators
7224,"Metal polishers, wheel grinders and tool sharpeners"
7231,Vehicle mechanics and repairers
7232,Aircraft mechanics and repairers
7233,Agricultural and industrial machinery mechanics and repairers
7311,Precision-instrument makers and repairers
7312,Jewellery and precious metal workers
7319,Musical instrument makers and other handicraft workers
7321,Pre-press technicians
7322,Printers
7323,Bookbinders and related workers
7411,"Electricians, installation and service"
7412,Electrical mechanics and fitters
7413,Electrical line installers and repairers
7420,Electronics repairers and telecom electricians
7521,Wood treaters
7522,Cabinet-makers and related workers
7523,"Machine operator, Wood-products"
7531,Tailors and related workers
7532,"Sewers, embroiderer and related workers"
7533,Upholsterers and related workers
7534,"Leather craft workers, shoemakers and related workers"
7611,"Butchers, fishmongers and related food preparers"
7612,"Bakers, pastry-cooks and confectionery makers"
7613,Food and beverage tasters and graders
7619,Other food processors
8111,Miners and quarries workers
8112,Mineral and stone processing plant operators
8113,Well drillers and borers and related workers
8114,"Machine operator, cement, stone and other mineral products"
8115,Shot firers and blasters
8116,"Stonemasons, stone cutters, splitters and carvers"
8121,"Machine operators, metal finishing, plating and coating "
8122,Metal melter and rolling-mill operators
8129,Metal processing plant operators not elsewhere classified
8131,"Machine operators, pharmaceutical products "
8132,"Machine operators, chemical and photographic products "
8141,"Machine operators, rubber products "
8142,"Machine operators, plastic products "
